[run-experiment; hdiff at version alpha]
Location  MinSharingHeight  MergeResult
kong-2b71933aefe7852e4bdb4c7ba1e134a62a5b8161-f2511bc37809b2e02237d32b410ac220e818b8ca 1 patience conflicting
kong-2bf4def8deaa0797bff0df80e92321da028600fc-e5856b2177d20a2a6a0ec20a9078507dc2460116 1 proper conflicting
kong-2bf4def8deaa0797bff0df80e92321da028600fc-e5856b2177d20a2a6a0ec20a9078507dc2460116 1 nonest conflicting
kong-2bf4def8deaa0797bff0df80e92321da028600fc-e5856b2177d20a2a6a0ec20a9078507dc2460116 1 patience conflicting
kong-2cfc6b326d12e08ff3294441b5f35622b6b4d19a-e1ff2cd14eb0ba0ed8e9844f70683e0acf1eac0f 1 proper conflicting
kong-2cfc6b326d12e08ff3294441b5f35622b6b4d19a-e1ff2cd14eb0ba0ed8e9844f70683e0acf1eac0f 1 nonest conflicting
kong-2cfc6b326d12e08ff3294441b5f35622b6b4d19a-e1ff2cd14eb0ba0ed8e9844f70683e0acf1eac0f 1 patience conflicting
kong-2e1931ead191adc3a916494842cea0c7402e8c24-24f7854ce50eaf3e970691ee5982d2336c9ea6b1 1 proper conflicting
kong-2e1931ead191adc3a916494842cea0c7402e8c24-24f7854ce50eaf3e970691ee5982d2336c9ea6b1 1 nonest conflicting
kong-2e1931ead191adc3a916494842cea0c7402e8c24-24f7854ce50eaf3e970691ee5982d2336c9ea6b1 1 patience conflicting
kong-3ab10f543844ed4408ab3090eaa073731f628d47-e5856b2177d20a2a6a0ec20a9078507dc2460116 1 proper conflicting
kong-3ab10f543844ed4408ab3090eaa073731f628d47-e5856b2177d20a2a6a0ec20a9078507dc2460116 1 nonest conflicting
kong-3ab10f543844ed4408ab3090eaa073731f628d47-e5856b2177d20a2a6a0ec20a9078507dc2460116 1 patience conflicting
kong-3c2ba585d471e5648d2942c0ee310a2b16c20af6-e1f3b54696f238824eb84e000ee48405c15c5c30 1 proper conflicting
kong-3c2ba585d471e5648d2942c0ee310a2b16c20af6-e1f3b54696f238824eb84e000ee48405c15c5c30 1 nonest conflicting
kong-3c2ba585d471e5648d2942c0ee310a2b16c20af6-e1f3b54696f238824eb84e000ee48405c15c5c30 1 patience conflicting
kong-3c47101bfa30baf7aa4274d65a2146e87c3cba6c-ba34b948d866c0e9e10897f39368fa0acbbad1bf 1 proper conflicting
kong-3c47101bfa30baf7aa4274d65a2146e87c3cba6c-ba34b948d866c0e9e10897f39368fa0acbbad1bf 1 nonest conflicting
kong-3c47101bfa30baf7aa4274d65a2146e87c3cba6c-ba34b948d866c0e9e10897f39368fa0acbbad1bf 1 patience conflicting
kong-3c47101bfa30baf7aa4274d65a2146e87c3cba6c-c62a8b6f5fac609e5855f49abd37eb7ff75d0ce8 1 proper conflicting
kong-3c47101bfa30baf7aa4274d65a2146e87c3cba6c-c62a8b6f5fac609e5855f49abd37eb7ff75d0ce8 1 nonest conflicting
